timestamp,simulation_time,hour,day_of_week,zone_id,direction,vehicle_count,traffic_pattern
2025-03-28 13:52:55,1,0,0,zone_1,unknown,6,night
2025-03-28 13:52:55,1,0,0,zone_2,unknown,6,night
2025-03-28 13:52:55,1,0,0,zone_3,unknown,1,night
2025-03-28 13:52:55,1,0,0,zone_4,unknown,6,night
2025-03-28 13:52:56,2,0,0,zone_1,unknown,5,night
2025-03-28 13:52:56,2,0,0,zone_2,unknown,6,night
2025-03-28 13:52:56,2,0,0,zone_3,unknown,1,night
2025-03-28 13:52:56,2,0,0,zone_4,unknown,6,night
2025-03-28 13:52:56,3,0,0,zone_1,unknown,4,night
2025-03-28 13:52:56,3,0,0,zone_2,unknown,5,night
2025-03-28 13:52:56,3,0,0,zone_3,unknown,1,night
2025-03-28 13:52:56,3,0,0,zone_4,unknown,6,night
2025-03-28 13:52:56,4,0,0,zone_1,unknown,4,night
2025-03-28 13:52:56,4,0,0,zone_2,unknown,5,night
2025-03-28 13:52:56,4,0,0,zone_3,unknown,1,night
2025-03-28 13:52:56,4,0,0,zone_4,unknown,6,night
2025-03-28 13:52:56,5,0,0,zone_1,unknown,4,night
2025-03-28 13:52:56,5,0,0,zone_2,unknown,4,night
2025-03-28 13:52:56,5,0,0,zone_3,unknown,1,night
2025-03-28 13:52:56,5,0,0,zone_4,unknown,6,night
2025-03-28 13:52:56,6,0,0,zone_1,unknown,4,night
2025-03-28 13:52:56,6,0,0,zone_2,unknown,3,night
2025-03-28 13:52:56,6,0,0,zone_3,unknown,1,night
2025-03-28 13:52:56,6,0,0,zone_4,unknown,6,night
2025-03-28 13:52:56,7,0,0,zone_1,unknown,4,night
2025-03-28 13:52:56,7,0,0,zone_2,unknown,3,night
2025-03-28 13:52:56,7,0,0,zone_3,unknown,1,night
2025-03-28 13:52:56,7,0,0,zone_4,unknown,6,night
2025-03-28 13:52:56,8,0,0,zone_1,unknown,3,night
2025-03-28 13:52:56,8,0,0,zone_2,unknown,2,night
2025-03-28 13:52:56,8,0,0,zone_3,unknown,1,night
2025-03-28 13:52:56,8,0,0,zone_4,unknown,6,night
2025-03-28 13:52:56,9,0,0,zone_1,unknown,3,night
